N,Size,Index,Date
0,29521,0,2017-08-17 04:00:00
1,127141,29521,2017-09-06 23:00:00
2,20352,156662,2017-12-04 06:49:00
3,136,177014,2017-12-18 10:14:00
4,23847,177150,2017-12-18 13:34:00
5,50123,200997,2018-01-04 05:06:00
6,1200,251120,2018-02-09 10:00:00
7,1306,252320,2018-02-10 06:15:00
8,194245,253626,2018-02-11 04:35:00
9,1500,447871,2018-06-26 12:00:00
10,9218,449371,2018-06-27 14:45:00
11,153960,458589,2018-07-04 08:00:00
12,36990,612549,2018-10-19 09:30:00
13,169500,649539,2018-11-14 09:00:00
14,91860,819039,2019-03-12 08:00:00
15,33614,910899,2019-05-15 13:00:00
16,98145,944513,2019-06-07 22:15:00
17,129120,1042658,2019-08-15 10:00:00
18,70,1171778,2019-11-13 04:20:00
19,17067,1171848,2019-11-13 05:33:00
20,109320,1188915,2019-11-25 04:00:00
21,14916,1298235,2020-02-09 03:00:00
22,19672,1313151,2020-02-19 17:30:00
23,74310,1332823,2020-03-04 11:30:00
24,92010,1407133,2020-04-25 04:30:00
25,223230,1499143,2020-06-28 05:30:00
26,30648,1722373,2020-11-30 07:00:00
27,4800,1753021,2020-12-21 18:00:00
28,69161,1757821,2020-12-25 03:00:00
29,32940,1826982,2021-02-11 05:00:00
30,64710,1859922,2021-03-06 03:30:00
31,7171,1924632,2021-04-20 04:30:00
32,157995,1931803,2021-04-25 08:45:00
33,67710,2089798,2021-08-13 06:30:00
34,779260,2157508,2021-09-29 09:00:00
35,292399,2936768,2023-03-24 14:00:00
