"","Date","Start","End","Size","Filled"
"1",2017-08-17 04:00:00,0,1967,1968,30
"2",2017-09-06 23:30:00,1998,10471,8474,5
"3",2017-12-04 07:15:00,10477,11840,1364,7
"4",2017-12-18 14:00:00,11848,13435,1588,10
"5",2018-01-04 05:30:00,13446,16784,3339,137
"6",2018-02-09 10:30:00,16922,16998,77,4
"7",2018-02-10 06:45:00,17003,17087,85,4
"8",2018-02-11 05:00:00,17092,30038,12947,43
"9",2018-06-26 12:30:00,30082,30178,97,10
"10",2018-06-27 15:15:00,30189,30800,612,33
"11",2018-07-04 08:30:00,30834,41094,10261,17
"12",2018-10-19 10:00:00,41112,43574,2463,31
"13",2018-11-14 09:30:00,43606,54902,11297,27
"14",2019-03-12 08:30:00,54930,61050,6121,43
"15",2019-05-15 13:30:00,61094,63331,2238,7
"16",2019-06-07 22:45:00,63339,69878,6540,35
"17",2019-08-15 10:30:00,69914,78518,8605,12
"18",2019-11-13 04:45:00,78531,79670,1140,11
"19",2019-11-25 04:30:00,79682,86966,7285,7
"20",2020-02-09 03:30:00,86974,87965,992,26
"21",2020-02-19 18:00:00,87992,89300,1309,11
"22",2020-03-04 12:00:00,89312,94262,4951,13
"23",2020-04-25 05:00:00,94276,100406,6131,17
"24",2020-06-28 06:00:00,100424,115302,14879,7
"25",2020-11-30 07:30:00,115310,117350,2041,19
"26",2020-12-21 18:30:00,117370,117686,317,7
"27",2020-12-25 03:30:00,117694,122301,4608,8
"28",2021-02-11 05:30:00,122310,124502,2193,9
"29",2021-03-06 04:00:00,124512,128822,4311,13
"30",2021-04-20 05:00:00,128836,129311,476,21
"31",2021-04-25 09:15:00,129333,139862,10530,21
"32",2021-08-13 07:00:00,139884,144394,4511,11
"33",2021-09-29 09:30:00,144406,196353,51948,8
"34",2023-03-24 14:30:00,196362,218258,21897,0
