"","Date","Start","End","Size","Filled"
"1",2017-08-17 04:00:00,0,983,984,16
"2",2017-09-07,1000,5919,4920,5
"3",2017-12-18 14:30:00,5925,6717,793,6
"4",2018-01-04 06:00:00,6724,8391,1668,70
"5",2018-02-09 11:00:00,8462,15018,6557,23
"6",2018-06-26 13:00:00,15042,15088,47,6
"7",2018-06-27 15:30:00,15095,15399,305,18
"8",2018-07-04 09:00:00,15418,20546,5129,10
"9",2018-10-19 10:30:00,20557,21786,1230,17
"10",2018-11-14 10:00:00,21804,27450,5647,15
"11",2019-03-12 09:00:00,27466,30524,3059,23
"12",2019-05-15 14:00:00,30548,31665,1118,4
"13",2019-06-07 23:00:00,31670,34938,3269,19
"14",2019-08-15 11:00:00,34958,39258,4301,7
"15",2019-11-13 05:00:00,39266,39834,569,7
"16",2019-11-25 05:00:00,39842,43482,3641,5
"17",2020-02-09 04:00:00,43488,43982,495,14
"18",2020-02-19 18:30:00,43997,44649,653,7
"19",2020-03-04 12:30:00,44657,47130,2474,8
"20",2020-04-25 05:30:00,47139,50202,3064,10
"21",2020-06-28 06:30:00,50213,57650,7438,5
"22",2020-11-30 08:00:00,57656,58674,1019,11
"23",2020-12-21 19:00:00,58686,58842,157,5
"24",2020-12-25 04:00:00,58848,61150,2303,5
"25",2021-02-11 06:00:00,61156,62250,1095,6
"26",2021-03-06 04:30:00,62257,64410,2154,8
"27",2021-04-20 05:30:00,64419,64655,237,11
"28",2021-04-25 09:30:00,64667,69930,5264,12
"29",2021-08-13 07:30:00,69943,72196,2254,7
"30",2021-09-29 10:00:00,72204,98176,25973,5
"31",2023-03-24 15:00:00,98182,109269,11088,0
